
パキパキの筋肉で気合いれすぎの西島秀俊,ぱきぱきのきんにくできあいいれすぎのにしじまひでとし,987,1028,11
ファミコン ゲゲゲの鬼太郎の死ぬところ,ふぁみこんげげげのきたろうのしぬところ,1028,1053,11
ファミコン ミシシッピー殺人事件の死ぬところ,ふぁみこんみししっぴーさつじんじけんのしぬところ,1053,1087,11
ファミコン ファミリーサーキットの爆発音,ふぁみこんふぁみりーさーきっとのばくはつおん,1087,1108,11
アントニオ猪木,あんとにおいのき,1108,1141,11
かむくらの店員,かむくらのてんいん,1141,1164,11
大阪のアナウンサー 梅田淳,おおさかのあなうんさーうめだじゅん,1164,1187,11
やりつくされた大和田常務のまねをあえてやる(土下座),やりつくされたおおわだじょうむのまねをあえてやる(どげざ),1187,1212,11
大和田常務のキレて電話切るところ,おおわだじょうむのきれてでんわきるところ,1212,1237,11
大和田常務のやれるもんならやってみる,おおわだじょうむのやれるもんならやってみる,1237,1258,11
ボコられる直前の橋本真也,ぼこられるちょくぜんのはしもとしんや,1258,1330,11
やりつくされた長渕剛のまねをあえてやる,やりつくされたながぶちつよしのまねをあえてやる,1330,1390,11
サンチェの投げ方,さんちぇのなげかた,1390,1438,11
ASKA,ASKA,1438,1465,11
？真理教？さん　※モザイク,？しんりきょうさん,1465,1478,11
とろサーモン久保田,とろさーもんくぼた,1478,1488,11
田上よしえ,たのうえよしえ,95,149,12
死んでるねと思ったけど生きててバカビビるせみのまね,しんでるねとおもったけどいきててばかびびるせみのまね,149,181,12
ビーバップハイスクール菊永の歩き方,びーばっぷはいすくーるきくながのあるきかた,181,206,12
もしも玉木ひろしがモーターだったら,もしもたまきひろしがもーたーだったら,206,234,12
所ジョージ,ところじょーじ,234,255,12
山下清,やましたきよし,255,273,12
ドラクエの敵,どらくえのてき,273,341,12
マネーの虎堀之内社長,まねーのとらほりのうちしゃちょう,341,392,12
男塾の卍丸,おとこじゅくのまんじまる,392,440,12
WWEショーン・マイケルズの入場シーン,WWEしょーんまいけるずのにゅうじょうしーん,440,508,12
WWEブロック・レズナーの入場シーン,WWEぶろっくれずなーのにゅうじょうしーん,508,551,12
WWEバティスタの入場シーン,WWEばてぃすたのにゅうじょうしーん,551,640,12
WWEポール・ヘイメンの言い方,WWEぽーるへいめんのいいかた,640,675,12
バーチャファイター2のアキラ,ばーちゃふぁいたー2のあきら,675,709,12
たけしさん,たけしさん,709,743,12
大阪愚連隊にマスク破られ激怒する獣神ライガー,おおさかぐれんたいにますくやぶられげきどするじゅうしんらいがー,743,787,12
家の近くにくる火の用心の人,いえのちかくにくるひのようじんのひと,787,839,12
WWEラ・レジスタンスのレネ・デュプリー,WWEられじすたんすのれねでゅぷりー,839,862,12
ストⅡエドモンド本多の百烈張り手,すと2えどもんどほんだのひゃくれつはりて,862,884,12
美川憲一,みかわけんいち,884,912,12
誇張しすぎた麒麟の川島,こちょうしすぎたきりんのかわしま,120,171,13
ヒロシ,ひろし,171,233,13
松村邦洋がやる最近のたけしさん,まつむらくにひろがやるさいきんのたけしさん,233,275,13
誇張しすぎた長嶋監督,こちょうしすぎたながしまかんとく,275,304,13
スパルタンＸの死ぬとこ,すぱるたんえっくすのしぬとこ,304,343,13
ファミコン 魔界村の死ぬとこ,ふぁみこんまかいむらのしぬとこ,343,370,13
やばいサラリーマン,やばいさらりーまん,370,384,13
小保方さん,おぼかたさん,384,410,13
ASKA,ASKA,410,425,13
川平慈英,かわひらじえい,170,219,14
やりつくされた近藤真彦のまねをあえてやる,やりつくされたこんどうまさひこのまねをあえてやる,219,255,14
恥も外聞もなく8.6秒バズーカのまねをあえてやる,はじもがいぶんもなく8.6びょうばずーかのまねをあえてやる,255,296,14
やりつくされた千昌夫のまねをあえてやる,やりつくされたせんまさおのまねをあえてやる,296,354,14
DAPUMPの合いの手,DAPUMPのあいのて,354,381,14
九官鳥がむりやりおぼえさせられた桃太郎,きゅうかんちょうがむりやりおぼえさせられたももたろう,381,423,14
まんが日本昔ばなし,まんがにほんむかしばなし,423,462,14
誇張しすぎた木村拓哉,こちょうしすぎたきむらたくや,462,485,14
今でしょのスーパー誇張,いまでしょのすーぱーこちょう,485,513,14
誇張しすぎたジャパネットたかた,こちょうしすぎたじゃぱねっとたかた,513,556,14
